UserID,Gender,Age_group,Occupation_name,Zip_Code,city_name,State_Code,State_Name,ZCTA,Population,Density,Primary_County_Code,Primary_County_Name,County_Weights,County_Name,County_Code,Imprecise,Military,Timezone,Geo_Point
1,F,-18,K-12 student,48067,Royal Oak,MI,Michigan,True,24556.0,2065.5,26125.0,Oakland,"{""26125"": ""100""}",Oakland,26125,False,False,America/Detroit,"42.49046,-83.13795"
2,M,56+,self-employed,70072,Marrero,LA,Louisiana,True,55877.0,1040.0,22051.0,Jefferson,"{""22051"": ""100""}",Jefferson,22051,False,False,America/Chicago,"29.83601,-90.11042"
3,M,25-34,scientist,55117,Saint Paul,MN,Minnesota,True,45653.0,1904.5,27123.0,Ramsey,"{""27123"": ""100""}",Ramsey,27123,False,False,America/Chicago,"44.99936,-93.09687"
4,M,45-49,executive/managerial,2460,Newtonville,MA,Massachusetts,True,9773.0,2807.7,25017.0,Middlesex,"{""25017"": ""100""}",Middlesex,25017,False,False,America/New_York,"42.35196,-71.2083"
5,M,25-34,writer,55455,Minneapolis,MN,Minnesota,True,1118.0,1588.1,27053.0,Hennepin,"{""27053"": ""100""}",Hennepin,27053,False,False,America/Chicago,"44.97358,-93.23316"
6,F,50-55,homemaker,55117,Saint Paul,MN,Minnesota,True,45653.0,1904.5,27123.0,Ramsey,"{""27123"": ""100""}",Ramsey,27123,False,False,America/Chicago,"44.99936,-93.09687"
7,M,35-44,academic/educator,6810,Danbury,CT,Connecticut,True,52548.0,979.5,9001.0,Fairfield,"{""09001"": ""100""}",Fairfield,9001,False,False,America/New_York,"41.37629,-73.45924"
8,M,25-34,programmer,11413,Springfield Gardens,NY,New York,True,41650.0,5180.5,36081.0,Queens,"{""36081"": ""100""}",Queens,36081,False,False,America/New_York,"40.66992,-73.7509"
9,M,25-34,technician/engineer,61614,Peoria,IL,Illinois,True,28207.0,902.4,17143.0,Peoria,"{""17143"": ""100""}",Peoria,17143,False,False,America/Chicago,"40.75899,-89.60494"
10,F,35-44,academic/educator,95370,Sonora,CA,California,True,28096.0,105.1,6109.0,Tuolumne,"{""06109"": ""100""}",Tuolumne,6109,False,False,America/Los_Angeles,"37.98461,-120.34883"
11,F,25-34,academic/educator,4093,Buxton,ME,Maine,True,8243.0,78.5,23031.0,York,"{""23031"": ""100""}",York,23031,False,False,America/New_York,"43.64281,-70.5377"
12,M,25-34,programmer,32793,,,,,,,,,,,,,,,
